theme;question;A;B;C;D;reponse
harry potter;Laquelle de ses incantations est dite "impardonnable" ?;Impero;Sectumsempra;Diffindo;Cruciatu;A
harry potter;Où se trouve l'école de sorcier dans laquelle Harry et ses amis poursuivent leurs études ?;A l'ouest du Pays de Galles;Dans une forêt en Bretagne;Entre l'Angleterre et l'Ecosse;En Irlande près de Galway;C
harry potter;Quel est le premier cadeau de Noël que Hagrid a offert à Harry Potter ?;Une flûte;Une clé;Une baguette;Une chouette;A
harry potter;Qui garde Azkaban, la prison des sorciers dans la saga « Harry Potter » ?;Des goules;Des détraqueurs;Des cerbères;Des épouvantards;B
harry potter;Qui est professeur de soins aux créatures magiques dans la saga « Harry Potter » ?;Pomona Chourave;Albus Dumbledore;Severus Rogue;Rubeus Hagrid;D
harry potter;Quels prénoms portent les jumeaux Weasley dans « Harry Potter » ?;Bill et George;Fred et George;Charlie et Bill;Lou et Cédric;B
harry potter;Quel est le prénom du meilleur ami du jeune Harry Potter ?;Ron;Drago;Hagrid;Sirius;A
harry potter;Quelle actrice incarne Hermione Granger dans la saga « Harry Potter » ?;Zoë Wanamaker;Maggie Smith;Danielle Tabor;Emma Watson;D
harry potter;Quel est le signe zodiacal du jeune Harry Potter, né en 1980 ?;Lion;Vierge;Taureau;Balance;A
harry potter;Dans quelle école de sorcellerie Harry Potter a-t-il suivi ses enseignements ?;West Point;Oxford;Cambridge;Poudlard;D
harry potter;Quel poste tient Harry Potter dans son équipe de quidditch ?;Poursuiveur;Gardien;Batteur;Attrapeur;D
harry potter;Dans « Harry Potter », quel titre Voldemort a-t-il décidé de porter ?;Duc;Lord;Baron;Comte;B
harry potter;Quel est le nom du dragon appartenant à Hagrid dans la saga « Harry Potter » ?;Aragog;Crockdur;Errol;Norbert;D
harry potter;À quelle adresse habite la famille Dursley dans la saga « Harry Potter » ?;4 Privet Square;4 Privet Drive; 4 Privet Avenue;4 Privet Road;B
harry potter;Quelle matière enseigne le Professeur Rogue dans la saga « Harry Potter » ?;Métamorphose;Enchantement;Potions;Occlumancie;C
harry potter;Qui est ministre de la magie dans la saga « Harry Potter » ?;Lucius Malefoy;Cornelius Fudge;Ludobic Verpey;Albus Dumbledore;B
harry potter;Quelle boisson sert-on principalement aux « Trois balais » dans « Harry Potter » ?;Bièraubeurre;Vinausucre;Sodalamenthe;Laitpinard;A
harry potter;Comment se prénomme la mère de Drago Malefoy dans « Harry Potter » ?;Dolores;Lily;Bellatrix;Narcissa;D
harry potter;Comment se prénomment les parents du jeune Harry Potter ?;Laurena et Victor;Hermione et Ron;James et Lily;Olivia et Tom;C
harry potter;Dans la saga « Harry Potter », qui est le prince de sang mêlé ?;Albus Dumbledore;Lord Voldemort;Drago Malefoy;Severus Rogue;D
harry potter;À Poudlard, à quel étage se trouve la salle sur demande ?;11; 2;7;20;C
harry potter;À qui Harry Potter doit-il sa cicatrice obtenue suite à un sortilège de la Mort ?;Remus Lupin;Lord Voldemort;Ron Weasley;James Potter;B
harry potter;Dans la saga « Harry Potter », un Moldu est une personne née dans une famille...;Sans secret;Sans argent;Sans enfants;Sans magie;D
harry potter;Quel est le nom de famille de Hermione dans la saga « Harry Potter » ?;Gaunt;Grindelwald;Granger;Greengrass;C
harry potter;En quoi se transforme Peter Pettigrow dans « Harry Potter » ?;Un chat;Un serpent;Un rat;Un poisson;C
harry potter;Quelle forme prend l'épouvantard de Ron dans la saga « Harry Potter » ?;Un dragon;Un scorpion;Une araignée;Un loup;C
harry potter;Quelle est la formule du sortilège de mort dans la saga « Harry Potter » ?;Avada Kedavra;Machina Fino;Mortibus Rem;Post Mortem;A
harry potter;Qui a succédé à Armando Dippet comme directeur de Poudlard dans « Harry Potter » ?;Lord Voldemort;Ron Weasley;Severus Rogue;Albus Dumbledore;D
harry potter;Quel acteur joue le rôle de Drago Malefoy dans « Harry Potter » ?;Rupert Grint;Robbie Coltrane;Tom Felton;Jeff Rawle;C
harry potter;Quel est le prénom de Hagrid, le demi-géant de la saga « Harry Potter » ?;Severus;Albus;Rubeus;Remus;C
harry potter;Quelle est la marque du balai de course utilisé par Harry Potter ?;Etoile filante;Comete 260;Nimbus 2000;Brossdur 5;C
harry potter;Qui a offert le très performant Nimbus 2000 à Harry Potter ?;Albus Dumbledore;Severus Rogue;Drago Malefoy;Minerva McGonagall;D
harry potter;Quelle actrice incarne le professeur Bibine dans la saga « Harry Potter » ?;Zoë Wanamaker;Maggie Smith;Danielle Tabor;Emma Watson;A
harry potter;Que peut-on voir sur la porte du placard dans lequel vit Harry;Rien;Une grille d'aération;Une image de renard;Un porte-manteau;B
harry potter;Quel est le premier personnage à apparaitre à l'écran?;Minerva McGonagall;Albus Dumbledore;Vernon Dursley;Pétunia Dursley;B
harry potter;Le jour où Harry reçoit sa première lettre pour Poudlard; que fait Pétunia dans la cuisine?;Elle tient l'ancien uniforme de Dudley;Elle fait la cuisine;Elle prépare un gâteau pour Dudley;Elle reprend l'un des pantalons de Dudley;A
harry potter;Qui est assis derrière Ron et Hermione pendant le cours Wingardium Leviosa?;Dean et Seamus;Seamus et Harry;Deam, Seamus et Harry;Dean et Neville;D
harry potter;Dans le premier film, combien de points Hermione fait-elle gagner à Gryffondor?;20;50;100;150;B
harry potter;Lors de la partie d'échec, quelle est la dernière manoeuvre de Ron?;cavalier en D4;cavalier en H3;cavalier en H5;tour en D3;B
harry potter;Quel animal a aidé à la confection de la baguette de Harry?;chouette;dragon;phénix;licorne;C
harry potter;Dans le premier film, quel membre des Weasley est le premier à passer la voie 9 3/4?;George;Fred;Ron;Percy;D
harry potter;Quel est le nom du professeur d'étude des moldus à Poudlard ?;Remus Lupin;Severus Rogue;Charity Burbage;Sybille Trelawney;C
harry potter;Quel est le nom de l'animal de compagnie de Harry Potter ?;Croûtard;Crockdur;Hedwige;Fang;C
harry potter;Quel personnage a une boutique sur le Chemin de Traverse ?;Flamel;Flitwick;Fudge;Florean Fortescue;D
harry potter;Quel est le premier livre de la série Harry Potter ?;La Coupe de feu;A l'école des Sorciers;La Chambre des secrets;L'Ordre du Phénix;B
harry potter;Qui est le véritable père de Tom Jedusor ?;Terence Higgs;Elvis Marvolo Gaunt;Tom Riddle;Tom Jedusor Senior;D
harry potter;Dans quel film a t'on vu la première fois Dobby?;La Chambre des secrets;La Coupe de feu;A l'école des Sorciers;L'Ordre du Phénix;A
harry potter;Qui est le père de Bellatrix Lestrange ?;Rodolphus Lestrange;Walden Macnair;Cygnus Black III;Regulus Arcturus Black;C
harry potter;Qui est le parrain de Harry Potter ?;Sirius Blak;Remus Lupin;Arthur Weasley;Peter Pettigrow;A
pokemon;Quelle est l'évolution de Roucool?;Roucarnage;Roucoups;Roufun;Roucaillou;B
